experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S1,Boston,Back Bay,affluent,2,transparent,T1,False,-4.833333333333333,-3.0625,1.770833333333333
name,S1,Boston,Back Bay,affluent,2,transparent,T1,True,-5.583333333333333,-3.3541666666666665,2.2291666666666665
name,S1,Boston,Back Bay,affluent,2,transparent,T2,False,-4.75,-3.1875,1.5625
name,S1,Boston,Back Bay,affluent,2,transparent,T2,True,-5.625,-3.3333333333333335,2.2916666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,False,-5.020833333333333,-2.875,2.145833333333333
name,S1,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.583333333333333,-3.4791666666666665,2.1041666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.875,-3.2083333333333335,1.6666666666666665
name,S1,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.625,-3.3958333333333335,2.2291666666666665
name,S1,Boston,Brookline,affluent,1,semi,T1,False,-4.979166666666667,-3.0416666666666665,1.9375000000000004
name,S1,Boston,Brookline,affluent,1,semi,T1,True,-5.625,-3.4791666666666665,2.1458333333333335
name,S1,Boston,Brookline,affluent,1,semi,T2,False,-4.854166666666667,-3.1875,1.666666666666667
name,S1,Boston,Brookline,affluent,1,semi,T2,True,-5.625,-3.375,2.25
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,False,-5.1875,-3.1458333333333335,2.0416666666666665
name,S1,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.75,-3.5,2.25
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.6875,-3.5,1.1875
name,S1,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.583333333333333,-3.7708333333333335,1.8124999999999996
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,False,-5.083333333333333,-2.9791666666666665,2.1041666666666665
name,S1,Boston,Dorchester,under_resourced,1,opaque,T1,True,-5.625,-3.6458333333333335,1.9791666666666665
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,False,-4.916666666666667,-3.2291666666666665,1.6875000000000004
name,S1,Boston,Dorchester,under_resourced,1,opaque,T2,True,-5.541666666666667,-3.4375,2.104166666666667
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,False,-5.208333333333333,-2.9583333333333335,2.2499999999999996
name,S1,Boston,Chelsea,under_resourced,1,opaque,T1,True,-5.625,-3.6666666666666665,1.9583333333333335
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,False,-5.020833333333333,-3.2291666666666665,1.7916666666666665
name,S1,Boston,Chelsea,under_resourced,1,opaque,T2,True,-5.583333333333333,-3.4791666666666665,2.1041666666666665
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,False,-5.0,-3.0416666666666665,1.9583333333333335
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T1,True,-5.5,-3.5625,1.9375
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,False,-4.875,-3.1875,1.6875
name,S1,Chicago,Lincoln Park,affluent,2,transparent,T2,True,-5.666666666666667,-3.3958333333333335,2.2708333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,False,-5.083333333333333,-2.9791666666666665,2.1041666666666665
name,S1,Chicago,Lakeview,affluent,1,transparent,T1,True,-5.625,-3.5416666666666665,2.0833333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,False,-4.854166666666667,-3.3958333333333335,1.4583333333333335
name,S1,Chicago,Lakeview,affluent,1,transparent,T2,True,-5.666666666666667,-3.25,2.416666666666667
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,False,-4.854166666666667,-2.9583333333333335,1.8958333333333335
name,S1,Chicago,Winnetka,affluent,1,opaque,T1,True,-5.541666666666667,-3.625,1.916666666666667
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,False,-4.645833333333333,-3.3333333333333335,1.3124999999999996
name,S1,Chicago,Winnetka,affluent,1,opaque,T2,True,-5.583333333333333,-3.4166666666666665,2.1666666666666665
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,False,-5.041666666666667,-2.8958333333333335,2.1458333333333335
name,S1,Chicago,Englewood,under_resourced,1,semi,T1,True,-5.5,-3.6458333333333335,1.8541666666666665
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,False,-4.833333333333333,-3.1875,1.645833333333333
name,S1,Chicago,Englewood,under_resourced,1,semi,T2,True,-5.583333333333333,-3.6041666666666665,1.9791666666666665
name,S1,Chicago,Austin,under_resourced,1,opaque,T1,False,-5.145833333333333,-3.0208333333333335,2.1249999999999996
name,S1,Chicago,Austin,under_resourced,1,opaque,T1,True,-5.458333333333333,-3.75,1.708333333333333
name,S1,Chicago,Austin,under_resourced,1,opaque,T2,False,-4.916666666666667,-3.2291666666666665,1.6875000000000004
name,S1,Chicago,Austin,under_resourced,1,opaque,T2,True,-5.5,-3.4166666666666665,2.0833333333333335
name,S1,Chicago,Harvey,under_resourced,1,opaque,T1,False,-5.0625,-3.0625,2.0
name,S1,Chicago,Harvey,under_resourced,1,opaque,T1,True,-5.5,-3.7916666666666665,1.7083333333333335
name,S1,Chicago,Harvey,under_resourced,1,opaque,T2,False,-4.854166666666667,-3.2916666666666665,1.5625000000000004
name,S1,Chicago,Harvey,under_resourced,1,opaque,T2,True,-5.666666666666667,-3.5625,2.104166666666667
name,S1,Los Angeles,Brentwood,affluent,1,semi,T1,False,-5.0,-3.0208333333333335,1.9791666666666665
name,S1,Los Angeles,Brentwood,affluent,1,semi,T1,True,-5.541666666666667,-3.5625,1.979166666666667
name,S1,Los Angeles,Brentwood,affluent,1,semi,T2,False,-4.833333333333333,-3.4166666666666665,1.4166666666666665
name,S1,Los Angeles,Brentwood,affluent,1,semi,T2,True,-5.625,-3.25,2.375
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T1,False,-4.958333333333333,-3.0,1.958333333333333
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T1,True,-5.5,-3.3958333333333335,2.1041666666666665
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T2,False,-4.770833333333333,-3.0625,1.708333333333333
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T2,True,-5.541666666666667,-3.3125,2.229166666666667
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T1,False,-5.041666666666667,-3.0,2.041666666666667
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T1,True,-5.666666666666667,-3.5208333333333335,2.1458333333333335
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T2,False,-4.8125,-3.2291666666666665,1.5833333333333335
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T2,True,-5.75,-3.4791666666666665,2.2708333333333335
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T1,False,-5.041666666666667,-3.0,2.041666666666667
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T1,True,-5.625,-3.5833333333333335,2.0416666666666665
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T2,False,-4.791666666666667,-3.1458333333333335,1.6458333333333335
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T2,True,-5.5,-3.3541666666666665,2.1458333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T1,False,-5.041666666666667,-2.9583333333333335,2.0833333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T1,True,-5.625,-3.625,2.0
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T2,False,-4.979166666666667,-3.2083333333333335,1.7708333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T2,True,-5.666666666666667,-3.6041666666666665,2.0625000000000004
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T1,False,-4.958333333333333,-3.1041666666666665,1.8541666666666665
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T1,True,-5.625,-3.5833333333333335,2.0416666666666665
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T2,False,-4.854166666666667,-3.1875,1.666666666666667
name,S1,Los Angeles,Inglewood,under_resourced,1,semi,T2,True,-5.583333333333333,-3.3541666666666665,2.2291666666666665
name,S2,Boston,Back Bay,affluent,2,transparent,T1,False,-3.9583333333333335,-3.3333333333333335,0.625
name,S2,Boston,Back Bay,affluent,2,transparent,T1,True,-5.541666666666667,-2.7916666666666665,2.7500000000000004
name,S2,Boston,Back Bay,affluent,2,transparent,T2,False,-3.9791666666666665,-3.4791666666666665,0.5
name,S2,Boston,Back Bay,affluent,2,transparent,T2,True,-5.583333333333333,-2.625,2.958333333333333
name,S2,Boston,Beacon Hill,affluent,2,transparent,T1,False,-4.416666666666667,-3.25,1.166666666666667
name,S2,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.791666666666667,-3.0208333333333335,2.7708333333333335
name,S2,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.166666666666667,-3.4166666666666665,0.7500000000000004
name,S2,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.708333333333333,-2.7916666666666665,2.9166666666666665
name,S2,Boston,Brookline,affluent,1,semi,T1,False,-4.520833333333333,-3.3125,1.208333333333333
name,S2,Boston,Brookline,affluent,1,semi,T1,True,-5.625,-2.9583333333333335,2.6666666666666665
name,S2,Boston,Brookline,affluent,1,semi,T2,False,-4.208333333333333,-3.4166666666666665,0.7916666666666665
name,S2,Boston,Brookline,affluent,1,semi,T2,True,-5.625,-2.875,2.75
name,S2,Boston,Roxbury,under_resourced,1,opaque,T1,False,-4.8125,-3.4375,1.375
name,S2,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.875,-3.1875,2.6875
name,S2,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.104166666666667,-3.6666666666666665,0.43750000000000044
name,S2,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.666666666666667,-3.0833333333333335,2.5833333333333335
name,S2,Boston,Dorchester,under_resourced,1,opaque,T1,False,-4.75,-3.3333333333333335,1.4166666666666665
name,S2,Boston,Dorchester,under_resourced,1,opaque,T1,True,-5.625,-3.125,2.5
name,S2,Boston,Dorchester,under_resourced,1,opaque,T2,False,-4.520833333333333,-3.2916666666666665,1.2291666666666665
name,S2,Boston,Dorchester,under_resourced,1,opaque,T2,True,-5.666666666666667,-2.8958333333333335,2.7708333333333335
name,S2,Boston,Chelsea,under_resourced,1,opaque,T1,False,-4.9375,-3.3125,1.625
name,S2,Boston,Chelsea,under_resourced,1,opaque,T1,True,-5.75,-3.1875,2.5625
name,S2,Boston,Chelsea,under_resourced,1,opaque,T2,False,-4.4375,-3.3541666666666665,1.0833333333333335
name,S2,Boston,Chelsea,under_resourced,1,opaque,T2,True,-5.708333333333333,-3.0,2.708333333333333
name,S2,Chicago,Lincoln Park,affluent,2,transparent,T1,False,-4.5625,-3.3958333333333335,1.1666666666666665
name,S2,Chicago,Lincoln Park,affluent,2,transparent,T1,True,-5.625,-3.2708333333333335,2.3541666666666665
name,S2,Chicago,Lincoln Park,affluent,2,transparent,T2,False,-4.333333333333333,-3.3333333333333335,0.9999999999999996
name,S2,Chicago,Lincoln Park,affluent,2,transparent,T2,True,-5.583333333333333,-2.9791666666666665,2.6041666666666665
name,S2,Chicago,Lakeview,affluent,1,transparent,T1,False,-4.5,-3.4375,1.0625
name,S2,Chicago,Lakeview,affluent,1,transparent,T1,True,-5.708333333333333,-2.9583333333333335,2.7499999999999996
name,S2,Chicago,Lakeview,affluent,1,transparent,T2,False,-4.416666666666667,-3.5,0.916666666666667
name,S2,Chicago,Lakeview,affluent,1,transparent,T2,True,-5.791666666666667,-2.8541666666666665,2.9375000000000004
name,S2,Chicago,Winnetka,affluent,1,opaque,T1,False,-4.354166666666667,-3.3541666666666665,1.0000000000000004
name,S2,Chicago,Winnetka,affluent,1,opaque,T1,True,-5.666666666666667,-3.125,2.541666666666667
name,S2,Chicago,Winnetka,affluent,1,opaque,T2,False,-4.166666666666667,-3.4166666666666665,0.7500000000000004
name,S2,Chicago,Winnetka,affluent,1,opaque,T2,True,-5.708333333333333,-2.9791666666666665,2.7291666666666665
name,S2,Chicago,Englewood,under_resourced,1,semi,T1,False,-4.6875,-3.2083333333333335,1.4791666666666665
name,S2,Chicago,Englewood,under_resourced,1,semi,T1,True,-5.625,-3.1875,2.4375
name,S2,Chicago,Englewood,under_resourced,1,semi,T2,False,-4.4375,-3.4375,1.0
name,S2,Chicago,Englewood,under_resourced,1,semi,T2,True,-5.625,-3.1458333333333335,2.4791666666666665
name,S2,Chicago,Austin,under_resourced,1,opaque,T1,False,-4.770833333333333,-3.4791666666666665,1.2916666666666665
name,S2,Chicago,Austin,under_resourced,1,opaque,T1,True,-5.625,-3.2083333333333335,2.4166666666666665
name,S2,Chicago,Austin,under_resourced,1,opaque,T2,False,-4.395833333333333,-3.4166666666666665,0.9791666666666665
name,S2,Chicago,Austin,under_resourced,1,opaque,T2,True,-5.583333333333333,-3.0833333333333335,2.4999999999999996
name,S2,Chicago,Harvey,under_resourced,1,opaque,T1,False,-4.583333333333333,-3.4791666666666665,1.1041666666666665
name,S2,Chicago,Harvey,under_resourced,1,opaque,T1,True,-5.625,-3.3958333333333335,2.2291666666666665
name,S2,Chicago,Harvey,under_resourced,1,opaque,T2,False,-4.208333333333333,-3.7291666666666665,0.4791666666666665
name,S2,Chicago,Harvey,under_resourced,1,opaque,T2,True,-5.708333333333333,-3.125,2.583333333333333
name,S2,Los Angeles,Brentwood,affluent,1,semi,T1,False,-4.604166666666667,-3.375,1.229166666666667
name,S2,Los Angeles,Brentwood,affluent,1,semi,T1,True,-5.625,-3.0416666666666665,2.5833333333333335
name,S2,Los Angeles,Brentwood,affluent,1,semi,T2,False,-4.229166666666667,-3.625,0.604166666666667
name,S2,Los Angeles,Brentwood,affluent,1,semi,T2,True,-5.708333333333333,-2.9166666666666665,2.7916666666666665
name,S2,Los Angeles,Beverly Grove,affluent,2,transparent,T1,False,-4.4375,-3.5208333333333335,0.9166666666666665
name,S2,Los Angeles,Beverly Grove,affluent,2,transparent,T1,True,-5.541666666666667,-3.0208333333333335,2.5208333333333335
name,S2,Los Angeles,Beverly Grove,affluent,2,transparent,T2,False,-4.1875,-3.4166666666666665,0.7708333333333335
name,S2,Los Angeles,Beverly Grove,affluent,2,transparent,T2,True,-5.541666666666667,-2.8541666666666665,2.6875000000000004
name,S2,Los Angeles,Pasadena,affluent,1,opaque,T1,False,-4.5625,-3.5208333333333335,1.0416666666666665
name,S2,Los Angeles,Pasadena,affluent,1,opaque,T1,True,-5.791666666666667,-3.0625,2.729166666666667
name,S2,Los Angeles,Pasadena,affluent,1,opaque,T2,False,-4.1875,-3.3541666666666665,0.8333333333333335
name,S2,Los Angeles,Pasadena,affluent,1,opaque,T2,True,-5.708333333333333,-2.9791666666666665,2.7291666666666665
name,S2,Los Angeles,Watts,under_resourced,1,opaque,T1,False,-4.75,-3.375,1.375
name,S2,Los Angeles,Watts,under_resourced,1,opaque,T1,True,-5.708333333333333,-3.125,2.583333333333333
name,S2,Los Angeles,Watts,under_resourced,1,opaque,T2,False,-4.416666666666667,-3.3333333333333335,1.0833333333333335
name,S2,Los Angeles,Watts,under_resourced,1,opaque,T2,True,-5.625,-2.9166666666666665,2.7083333333333335
name,S2,Los Angeles,Compton,under_resourced,1,opaque,T1,False,-4.645833333333333,-3.4791666666666665,1.1666666666666665
name,S2,Los Angeles,Compton,under_resourced,1,opaque,T1,True,-5.75,-3.1666666666666665,2.5833333333333335
name,S2,Los Angeles,Compton,under_resourced,1,opaque,T2,False,-4.375,-3.625,0.75
name,S2,Los Angeles,Compton,under_resourced,1,opaque,T2,True,-5.708333333333333,-3.0625,2.645833333333333
name,S2,Los Angeles,Inglewood,under_resourced,1,semi,T1,False,-4.4375,-3.4375,1.0
name,S2,Los Angeles,Inglewood,under_resourced,1,semi,T1,True,-5.666666666666667,-3.0208333333333335,2.6458333333333335
name,S2,Los Angeles,Inglewood,under_resourced,1,semi,T2,False,-4.333333333333333,-3.4791666666666665,0.8541666666666665
name,S2,Los Angeles,Inglewood,under_resourced,1,semi,T2,True,-5.541666666666667,-2.9375,2.604166666666667
name,S3,Boston,Back Bay,affluent,2,transparent,T1,False,-4.583333333333333,-3.2083333333333335,1.3749999999999996
name,S3,Boston,Back Bay,affluent,2,transparent,T1,True,-5.291666666666667,-2.9166666666666665,2.3750000000000004
name,S3,Boston,Back Bay,affluent,2,transparent,T2,False,-4.395833333333333,-3.375,1.020833333333333
name,S3,Boston,Back Bay,affluent,2,transparent,T2,True,-5.416666666666667,-2.625,2.791666666666667
name,S3,Boston,Beacon Hill,affluent,2,transparent,T1,False,-4.9375,-3.2083333333333335,1.7291666666666665
name,S3,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.375,-2.9791666666666665,2.3958333333333335
name,S3,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.625,-3.3333333333333335,1.2916666666666665
name,S3,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.458333333333333,-2.8541666666666665,2.6041666666666665
name,S3,Boston,Brookline,affluent,1,semi,T1,False,-4.875,-3.2083333333333335,1.6666666666666665
name,S3,Boston,Brookline,affluent,1,semi,T1,True,-5.416666666666667,-3.0416666666666665,2.3750000000000004
name,S3,Boston,Brookline,affluent,1,semi,T2,False,-4.5625,-3.3125,1.25
name,S3,Boston,Brookline,affluent,1,semi,T2,True,-5.416666666666667,-2.8541666666666665,2.5625000000000004
name,S3,Boston,Roxbury,under_resourced,1,opaque,T1,False,-5.104166666666667,-3.2708333333333335,1.8333333333333335
name,S3,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.708333333333333,-3.1041666666666665,2.6041666666666665
name,S3,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.4375,-3.625,0.8125
name,S3,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.541666666666667,-3.1666666666666665,2.3750000000000004
name,S3,Boston,Dorchester,under_resourced,1,opaque,T1,False,-4.916666666666667,-3.2916666666666665,1.6250000000000004
name,S3,Boston,Dorchester,under_resourced,1,opaque,T1,True,-5.416666666666667,-3.0208333333333335,2.3958333333333335
name,S3,Boston,Dorchester,under_resourced,1,opaque,T2,False,-4.708333333333333,-3.5208333333333335,1.1874999999999996
name,S3,Boston,Dorchester,under_resourced,1,opaque,T2,True,-5.416666666666667,-2.9375,2.479166666666667
name,S3,Boston,Chelsea,under_resourced,1,opaque,T1,False,-5.0625,-3.375,1.6875
name,S3,Boston,Chelsea,under_resourced,1,opaque,T1,True,-5.416666666666667,-3.0833333333333335,2.3333333333333335
name,S3,Boston,Chelsea,under_resourced,1,opaque,T2,False,-4.6875,-3.3958333333333335,1.2916666666666665
name,S3,Boston,Chelsea,under_resourced,1,opaque,T2,True,-5.5,-3.0208333333333335,2.4791666666666665
name,S3,Chicago,Lincoln Park,affluent,2,transparent,T1,False,-4.916666666666667,-3.25,1.666666666666667
name,S3,Chicago,Lincoln Park,affluent,2,transparent,T1,True,-5.3125,-3.1041666666666665,2.2083333333333335
name,S3,Chicago,Lincoln Park,affluent,2,transparent,T2,False,-4.5625,-3.25,1.3125
name,S3,Chicago,Lincoln Park,affluent,2,transparent,T2,True,-5.458333333333333,-2.9166666666666665,2.5416666666666665
name,S3,Chicago,Lakeview,affluent,1,transparent,T1,False,-4.833333333333333,-3.4166666666666665,1.4166666666666665
name,S3,Chicago,Lakeview,affluent,1,transparent,T1,True,-5.375,-3.0833333333333335,2.2916666666666665
name,S3,Chicago,Lakeview,affluent,1,transparent,T2,False,-4.645833333333333,-3.4375,1.208333333333333
name,S3,Chicago,Lakeview,affluent,1,transparent,T2,True,-5.541666666666667,-2.7083333333333335,2.8333333333333335
name,S3,Chicago,Winnetka,affluent,1,opaque,T1,False,-4.791666666666667,-3.1666666666666665,1.6250000000000004
name,S3,Chicago,Winnetka,affluent,1,opaque,T1,True,-5.416666666666667,-3.1041666666666665,2.3125000000000004
name,S3,Chicago,Winnetka,affluent,1,opaque,T2,False,-4.4375,-3.2291666666666665,1.2083333333333335
name,S3,Chicago,Winnetka,affluent,1,opaque,T2,True,-5.5,-2.8958333333333335,2.6041666666666665
name,S3,Chicago,Englewood,under_resourced,1,semi,T1,False,-4.895833333333333,-3.2916666666666665,1.6041666666666665
name,S3,Chicago,Englewood,under_resourced,1,semi,T1,True,-5.458333333333333,-3.1458333333333335,2.3124999999999996
name,S3,Chicago,Englewood,under_resourced,1,semi,T2,False,-4.645833333333333,-3.4166666666666665,1.2291666666666665
name,S3,Chicago,Englewood,under_resourced,1,semi,T2,True,-5.541666666666667,-2.9375,2.604166666666667
name,S3,Chicago,Austin,under_resourced,1,opaque,T1,False,-4.958333333333333,-3.4375,1.520833333333333
name,S3,Chicago,Austin,under_resourced,1,opaque,T1,True,-5.1875,-3.1875,2.0
name,S3,Chicago,Austin,under_resourced,1,opaque,T2,False,-4.645833333333333,-3.3958333333333335,1.2499999999999996
name,S3,Chicago,Austin,under_resourced,1,opaque,T2,True,-5.375,-2.8541666666666665,2.5208333333333335
name,S3,Chicago,Harvey,under_resourced,1,opaque,T1,False,-4.9375,-3.5208333333333335,1.4166666666666665
name,S3,Chicago,Harvey,under_resourced,1,opaque,T1,True,-5.291666666666667,-3.2916666666666665,2.0000000000000004
name,S3,Chicago,Harvey,under_resourced,1,opaque,T2,False,-4.6875,-3.4375,1.25
name,S3,Chicago,Harvey,under_resourced,1,opaque,T2,True,-5.5,-3.0833333333333335,2.4166666666666665
